"","iso_2","iso_3","country","continent","oecd","year","category","share"
"345","CR","CRI","Costa Rica","NO",1,"2022","5000","32.56"
"346","CR","CRI","Costa Rica","NO",1,"2018","6000","2.577"
"347","CR","CRI","Costa Rica","NO",1,"2019","6000","2.28"
"348","CR","CRI","Costa Rica","NO",1,"2020","6000","2.027"
"349","CR","CRI","Costa Rica","NO",1,"2021","6000","0.832"
"350","CR","CRI","Costa Rica","NO",1,"2022","6000","3.499"
"351","CR","CRI","Costa Rica","NO",1,"2018","1100","5.799"
"352","CR","CRI","Costa Rica","NO",1,"2019","1100","6.108"
"353","CR","CRI","Costa Rica","NO",1,"2020","1100","6.752"
"354","CR","CRI","Costa Rica","NO",1,"2021","1100","6.216"
"355","CR","CRI","Costa Rica","NO",1,"2022","1100","6.125"
"356","CR","CRI","Costa Rica","NO",1,"2018","1200","10.975"
"357","CR","CRI","Costa Rica","NO",1,"2019","1200","11.948"
"358","CR","CRI","Costa Rica","NO",1,"2020","1200","8.409"
"359","CR","CRI","Costa Rica","NO",1,"2021","1200","9.687"
"360","CR","CRI","Costa Rica","NO",1,"2022","1200","10.534"
"361","CR","CRI","Costa Rica","NO",1,"2018","1300","3.601"
"362","CR","CRI","Costa Rica","NO",1,"2019","1300","2.889"
"363","CR","CRI","Costa Rica","NO",1,"2020","1300","4.889"
"364","CR","CRI","Costa Rica","NO",1,"2021","1300","4.696"
"365","CR","CRI","Costa Rica","NO",1,"2022","1300","4.874"
"366","CR","CRI","Costa Rica","NO",1,"2018","2000","34.286"
"367","CR","CRI","Costa Rica","NO",1,"2019","2000","34.177"
"368","CR","CRI","Costa Rica","NO",1,"2020","2000","36.083"
"369","CR","CRI","Costa Rica","NO",1,"1990","5000","45.458"
"370","CR","CRI","Costa Rica","NO",1,"1990","6000","7.859"
"371","CR","CRI","Costa Rica","NO",1,"1990","1300","10.042"
"372","CR","CRI","Costa Rica","NO",1,"1990","2000","28.876"
"373","CR","CRI","Costa Rica","NO",1,"1990","3000","6.435"
"374","CR","CRI","Costa Rica","NO",1,"1990","4000","1.33"
"375","CZ","CZE","Czechia","EU",1,"2020","4000","0.585"
"376","CZ","CZE","Czechia","EU",1,"2020","1300","0"
"377","CZ","CZE","Czechia","EU",1,"2019","4000","1.196"
"378","CZ","CZE","Czechia","EU",1,"2019","1100","12.693"
"379","CZ","CZE","Czechia","EU",1,"2020","1100","13.524"
"380","CZ","CZE","Czechia","EU",1,"2021","1300","0"
"381","CZ","CZE","Czechia","EU",1,"2018","4000","1.301"
"382","CZ","CZE","Czechia","EU",1,"2018","1100","12.205"
"383","CZ","CZE","Czechia","EU",1,"2022","1300","0"
"384","CZ","CZE","Czechia","EU",1,"2021","3000","0"
"385","CZ","CZE","Czechia","EU",1,"2022","3000","0"
"386","CZ","CZE","Czechia","EU",1,"2019","3000","0"
"387","CZ","CZE","Czechia","EU",1,"2020","3000","0"
"388","CZ","CZE","Czechia","EU",1,"2018","2000","43.844"
"389","CZ","CZE","Czechia","EU",1,"2022","6000","0.01"
"390","CZ","CZE","Czechia","EU",1,"2020","5000","31.038"
"391","CZ","CZE","Czechia","EU",1,"2021","4000","0.563"
"392","CZ","CZE","Czechia","EU",1,"2018","5000","32.278"
"393","CZ","CZE","Czechia","EU",1,"2019","5000","31.867"
"394","CZ","CZE","Czechia","EU",1,"2018","3000","0"
"395","CZ","CZE","Czechia","EU",1,"2022","2000","46.634"
"396","CZ","CZE","Czechia","EU",1,"2019","2000","44.149"
"397","CZ","CZE","Czechia","EU",1,"2019","1300","0"
"398","CZ","CZE","Czechia","EU",1,"2021","6000","0.01"
"399","CZ","CZE","Czechia","EU",1,"2019","1200","10.084"
"400","CZ","CZE","Czechia","EU",1,"2018","6000","0.014"
"401","CZ","CZE","Czechia","EU",1,"2018","1300","0"
"402","CZ","CZE","Czechia","EU",1,"2020","2000","45.44"
"403","CZ","CZE","Czechia","EU",1,"2021","5000","31.321"
"404","CZ","CZE","Czechia","EU",1,"2018","1200","10.358"
"405","CZ","CZE","Czechia","EU",1,"2022","4000","0.543"
"406","CZ","CZE","Czechia","EU",1,"2020","1200","9.405"
"407","CZ","CZE","Czechia","EU",1,"2019","6000","0.011"
"408","CZ","CZE","Czechia","EU",1,"2022","1200","11.669"
"409","CZ","CZE","Czechia","EU",1,"2021","2000","47.345"
"410","CZ","CZE","Czechia","EU",1,"2022","5000","31.955"
"411","CZ","CZE","Czechia","EU",1,"2020","6000","0.009"
"412","CZ","CZE","Czechia","EU",1,"2021","1100","9.341"
"413","CZ","CZE","Czechia","EU",1,"2021","1200","11.421"
"414","CZ","CZE","Czechia","EU",1,"2022","1100","9.189"
"415","DE","DEU","Germany","EU",1,"2020","6000","0.016"
"416","DE","DEU","Germany","EU",1,"2019","3000","0"
