"iso_2","iso_3","country","continent","oecd","year","category","value"
"CA","CAN","Canada","NO",1,"2020","3000",12.528
"CA","CAN","Canada","NO",1,"2013","1100",207.794
"CA","CAN","Canada","NO",1,"2014","1100",205.053
"CA","CAN","Canada","NO",1,"2015","1100",187.991
"CA","CAN","Canada","NO",1,"2016","1100",181.939
"CA","CAN","Canada","NO",1,"2017","1100",193.781
"CA","CAN","Canada","NO",1,"2013","5000",132.407
"CA","CAN","Canada","NO",1,"2014","5000",129.898
"CA","CAN","Canada","NO",1,"2008","2000",70.179
"CA","CAN","Canada","NO",1,"2008","1100",182.784
"CA","CAN","Canada","NO",1,"2009","1100",161.288
"CA","CAN","Canada","NO",1,"2010","1100",175.586
"CA","CAN","Canada","NO",1,"2013","2000",87.751
"CA","CAN","Canada","NO",1,"2012","1100",207.61
"CA","CAN","Canada","NO",1,"2010","6000",0.579
"CA","CAN","Canada","NO",1,"2008","1300",6.514
"CA","CAN","Canada","NO",1,"2008","3000",9.732
"CA","CAN","Canada","NO",1,"2020","1200",69.698
"CA","CAN","Canada","NO",1,"2013","6000",0.676
"CA","CAN","Canada","NO",1,"2011","1200",56.668
"CA","CAN","Canada","NO",1,"2012","1200",57.951
"CA","CAN","Canada","NO",1,"2013","1200",60.535
"CA","CAN","Canada","NO",1,"2014","1200",60.437
"CA","CAN","Canada","NO",1,"2015","1200",53.114
"CA","CAN","Canada","NO",1,"2016","1200",57.591
"CA","CAN","Canada","NO",1,"2017","1200",64.147
"CA","CAN","Canada","NO",1,"2018","1200",70.485
"CA","CAN","Canada","NO",1,"2014","2000",84.516
"CA","CAN","Canada","NO",1,"2015","2000",75.392
"CA","CAN","Canada","NO",1,"2016","2000",74.693
"CA","CAN","Canada","NO",1,"2017","2000",76.256
"CA","CAN","Canada","NO",1,"2018","2000",79.854
"CA","CAN","Canada","NO",1,"2014","6000",0.653
"CA","CAN","Canada","NO",1,"2015","6000",0.585
"CA","CAN","Canada","NO",1,"2016","6000",0.558
"CA","CAN","Canada","NO",1,"2017","6000",0.622
"CA","CAN","Canada","NO",1,"2018","6000",0.684
"CA","CAN","Canada","NO",1,"2019","6000",0.674
"CA","CAN","Canada","NO",1,"2020","6000",0.635
"CA","CAN","Canada","NO",1,"2012","2000",85.931
"CA","CAN","Canada","NO",1,"2009","3000",9.149
"CA","CAN","Canada","NO",1,"2008","4000",55.833
"CA","CAN","Canada","NO",1,"2009","4000",54.114
"CA","CAN","Canada","NO",1,"2009","1300",5.141
"CA","CAN","Canada","NO",1,"2017","4000",64.831
"CA","CAN","Canada","NO",1,"2019","2000",81.664
"CA","CAN","Canada","NO",1,"2020","2000",80.487
"CA","CAN","Canada","NO",1,"2016","4000",61.256
"CA","CAN","Canada","NO",1,"2017","3000",11.017
"CA","CAN","Canada","NO",1,"2009","2000",66.924
"CA","CAN","Canada","NO",1,"2010","2000",74.534
"CA","CAN","Canada","NO",1,"2011","2000",81.398
"CA","CAN","Canada","NO",1,"2019","5000",134.169
"CA","CAN","Canada","NO",1,"2020","5000",122.184
"CA","CAN","Canada","NO",1,"2010","3000",10.444
"CA","CAN","Canada","NO",1,"2011","3000",11.687
"CA","CAN","Canada","NO",1,"2012","3000",11.912
"CA","CAN","Canada","NO",1,"2013","3000",12.117
"CA","CAN","Canada","NO",1,"2018","4000",66.504
"CA","CAN","Canada","NO",1,"2019","4000",67.141
"CA","CAN","Canada","NO",1,"2020","4000",68.29
"CA","CAN","Canada","NO",1,"2014","4000",66.339
"CA","CAN","Canada","NO",1,"2010","4000",61.864
"CA","CAN","Canada","NO",1,"2012","4000",67.746
"CA","CAN","Canada","NO",1,"2013","4000",68.391
"CA","CAN","Canada","NO",1,"2016","3000",10.323
"CA","CAN","Canada","NO",1,"2015","4000",60.846
"CA","CAN","Canada","NO",1,"2014","3000",11.708
"CA","CAN","Canada","NO",1,"2015","3000",10.37
"CA","CAN","Canada","NO",1,"2011","1300",5.569
"CA","CAN","Canada","NO",1,"2012","1300",5.004
"CA","CAN","Canada","NO",1,"2010","1300",5.791
"CA","CAN","Canada","NO",1,"2019","1100",212.045
"CA","CAN","Canada","NO",1,"2020","1100",205.441
"CA","CAN","Canada","NO",1,"2018","1100",206.13
"CA","CAN","Canada","NO",1,"2011","4000",66.134
"CH","CHE","Switzerland","EU",1,"2010","6000",0.566
"CH","CHE","Switzerland","EU",1,"2015","6000",0.83
"CH","CHE","Switzerland","EU",1,"2008","6000",0.466
"CH","CHE","Switzerland","EU",1,"2008","1200",16.211
"CH","CHE","Switzerland","EU",1,"2009","6000",0.543
"CH","CHE","Switzerland","EU",1,"2013","6000",0.716
"CH","CHE","Switzerland","EU",1,"2017","6000",0.981
"CH","CHE","Switzerland","EU",1,"2014","6000",0.823
"CH","CHE","Switzerland","EU",1,"2019","6000",1.055
"CH","CHE","Switzerland","EU",1,"2014","5000",41.882
"CH","CHE","Switzerland","EU",1,"2015","5000",39.859
"CH","CHE","Switzerland","EU",1,"2014","1300",8.186
"CH","CHE","Switzerland","EU",1,"2012","6000",0.647
"CH","CHE","Switzerland","EU",1,"2020","1200",23.028
"CH","CHE","Switzerland","EU",1,"2010","1300",5.934
"CH","CHE","Switzerland","EU",1,"2016","5000",39.14
"CH","CHE","Switzerland","EU",1,"2011","6000",0.674
"CH","CHE","Switzerland","EU",1,"2016","6000",0.904
"CH","CHE","Switzerland","EU",1,"2015","1300",8.867
"CH","CHE","Switzerland","EU",1,"2011","1300",7.393
"CH","CHE","Switzerland","EU",1,"2012","1300",6.538
